_Recipe_Name,_Main_Ingredient_1,_Cook_Time,_Spicy,_Website
Last Minute Chicken,Chicken,20,Yes,https://iwashyoudry.com/last-minute-chicken-recipe/
Parmesan Spring Chicken,Chicken,15,No,https://www.bbcgoodfood.com/recipes/parmesan-spring-chicken
Quick Chicken Chasseur,Chicken,15,No,https://www.bbcgoodfood.com/recipes/quick-chicken-chasseur
Chicken Stuffed with Herby Mascarpone,Chicken,25,No,https://www.bbcgoodfood.com/recipes/chicken-stuffed-herby-mascarpone
Easy Teriyaki Chicken,Chicken,20,No,https://www.bbcgoodfood.com/recipes/easy-teriyaki-chicken
Greek Tortellini Skillet,Beef,30,No,https://www.tasteofhome.com/recipes/greek-tortellini-skillet/
Beef Broccoli Stir Fry,Beef,25,No,https://www.tasteofhome.com/recipes/beef-broccoli-stir-fry/
Beef Tenderloin in Mushroom Sauce,Beef,25,No,https://www.tasteofhome.com/recipes/beef-tenderloin-in-mushroom-sauce/
Aloha Chili,Beef,30,Yes,https://www.tasteofhome.com/recipes/aloha-chili/
Speedy Shepherd's Pie,Beef,20,Yes,https://www.tasteofhome.com/recipes/speedy-shepherd-s-pie/
Crispy Pork Cutlets with Fennel Salad,Pork,20,No,https://www.bonappetit.com/recipe/pork-cutlets-with-fennel-cherries-and-basil-salad
Silky Pork and Cumin Stew,Pork,30,Yes,https://www.bonappetit.com/recipe/silky-pork-and-cumin-stew
Pan Roasted Brined Pork Chop,Pork,30,No,https://www.bonappetit.com/recipe/pan-roasted-brined-pork-chop
Party Ready Pork Roast,Pork,15,No,https://www.bonappetit.com/recipe/party-ready-pork-roast
Pork Carnitas,Pork,10,Yes,https://www.bonappetit.com/recipe/double-pork-carnitas
